"cat","jan","qty","name","sell","cost","sell_tax"
"0","000451409148","1","","0","0","0"
"0","000496986338","31","","0","0","0"
"0","0459598629307","36","","0","0","0"
"0","0459598629308","2","","0","0","0"
"0","1000004969863","1","","0","0","0"
"0","1458214374119","10","","0","0","0"
"0","1490107126850","1","","0","0","0"
"0","2300004162451","1","","0","0","0"
"0","3101034","4","","0","0","0"
"0","3498771500533","5","","0","0","0"
"0","4047872743389","1","","0","0","0"
"0","4251855900618","1","","0","0","0"
"0","4515042299009","2","","0","0","0"
"0","4526858050647","40","","0","0","0"
"0","4537944998026","1","","0","0","0"
"0","4538833203399","6","","0","0","0"
"0","4547432424869","10","","0","0","0"
"0","4548413486166","1","","0","0","0"
"0","4550585175205","2","","0","0","0"
"0","4550585175236","2","","0","0","0"
"0","4550585223708","3","","0","0","0"
"0","4550585223746","2","","0","0","0"
"0","4550585426178","1","","0","0","0"
"0","4550585426208","1","","0","0","0"
"0","4560160760740","1","","0","0","0"
"0","4562215270013","1","","0","0","0"
"0","4562215270020","2","","0","0","0"
"0","4562215270037","3","","0","0","0"
"0","4562215276978","1","","0","0","0"
"0","4562215276985","1","","0","0","0"
"0","4562215277081","1","","0","0","0"
"0","4571621443270","1","","0","0","0"
"0","4571621443447","1","","0","0","0"
"0","4573236510347","1","","0","0","0"
"0","4573451940592","1","","0","0","0"
"0","4573451940677","2","","0","0","0"
"0","4580373436607","1","","0","0","0"
"0","4582105370951","7","","0","0","0"
"0","4582105370975","1","","0","0","0"
"0","4582229422215","0","","0","0","0"
"0","4589929457264","65","","0","0","0"
"0","4589979561300","2","","0","0","0"
"0","4595987346099","7","","0","0","0"
"0","4900070181714","4","","0","0","0"
"0","4900998141012","24","","0","0","0"
"0","4900998150427","1","","0","0","0"
"0","4901139504970","10","","0","0","0"
"0","4901139504987","10","","0","0","0"
"0","4901755559057","6","","0","0","0"
"0","4901771319024","11","","0","0","0"
"0","4902508273954","90","","0","0","0"
"0","4903015329202","13","","0","0","0"
"0","4903080216322","8","","0","0","0"
"0","4903080216353","6","","0","0","0"
"0","4903725519610","3","","0","0","0"
"0","4903725519672","1","","0","0","0"
"0","4904601121026","196","","0","0","0"
"0","4932480000217","1","","0","0","0"
"0","4934651515780","1","","0","0","0"
"0","4948466392313","4","","0","0","0"
"0","4948466392320","3","","0","0","0"
"0","4948466392337","6","","0","0","0"
"0","4948466392351","15","","0","0","0"
"0","4948466392375","7","","0","0","0"
"0","4948466392382","1","","0","0","0"
"0","4955129035388","8","","0","0","0"
"0","4958995073331","1","","0","0","0"
"0","4958995760422","300","","0","0","0"
"0","4959456115119","10","","0","0","0"
"0","4970381802721","2","","0","0","0"
"0","4971032753119","1","","0","0","0"
"0","4972525804882","9","","0","0","0"
"0","4973077567911","3","","0","0","0"
"0","4973202301366","5","","0","0","0"
"0","4976558007258","4","","0","0","0"
"0","4977017031159","600","","0","0","0"
"0","4987086501569","1","","0","0","0"
"0","4987086533812","1","","0","0","0"
"0","4987382044173","2","","0","0","0"
"0","4987382044197","4","","0","0","0"
"0","4987458210716","4","","0","0","0"
"0","4987458210730","1","","0","0","0"
"0","4987601591860","1","","0","0","0"
"0","4987601592058","2","","0","0","0"
"0","4987601592065","2","","0","0","0"
"0","4987601592089","2","","0","0","0"
"0","4987601592157","2","","0","0","0"
"0","4987601592164","2","","0","0","0"
"0","4987601592171","2","","0","0","0"
"0","4987601592225","2","","0","0","0"
"0","4987601594700","2","","0","0","0"
"0","4987601594717","2","","0","0","0"
"0","4987601594779","2","","0","0","0"
"0","4987601594793","2","","0","0","0"
"0","4987601594816","3","","0","0","0"
"0","4987601594823","2","","0","0","0"
"0","4987601594830","2","","0","0","0"
"0","4987601594922","2","","0","0","0"
"0","4987601594939","2","","0","0","0"
"0","4987601595059","4","","0","0","0"
"0","4987601595066","2","","0","0","0"
"0","4987601595196","2","","0","0","0"
"0","4987601595226","2","","0","0","0"
"0","4987601595264","2","","0","0","0"
"0","4987601595295","2","","0","0","0"
"0","4987601595301","2","","0","0","0"
"0","4987601595318","3","","0","0","0"
"0","4987601595400","2","","0","0","0"
"0","4987601595417","2","","0","0","0"
"0","4987601595530","4","","0","0","0"
"0","4987603173453","15","","0","0","0"
"0","4996740556289","2","","0","0","0"
"0","7059280040162","4","","0","0","0"
"0","768455142361","3","","0","0","0"
"0","768455151134","5","","0","0","0"
"0","768455157273","1","","0","0","0"
"0","8000004517427","1","","0","0","0"
"0","8490136035399","1","","0","0","0"
"0","8490277720472","0","","0","0","0"
"0","8490288827471","0","","0","0","0"
"0","ZB03801","4","","0","0","0"
"4","4901001644346","11","","172","126.00","186"
"4","4901001752188","22","味の素 スープDELI たらこクリームスープパスタ 44.2g","172","126.00","186"
"4","4901001864881","14","味の素 スープDELI 完熟トマトのスープパスタ 40.6g","172","126.00","186"
"4","4901001925940","24","味の素 クノール スープDELI ポルチーニ香るきのこのクリームスープパスタ 42.3g","172","126.00","186"
"4","4901001941735","10","","172","126.00","186"
"4","4901001973361","11","","172","126.00","186"
"4","4901071245399","15","エースコック だしの旨みで減塩 鶏炊きうどん 45g","161","120.00","174"
"4","4901071245405","18","エースコック だしの旨みで減塩 小海老天そば 42g","161","120.00","174"
"4","4901071405168","16","エースコック スープはるさめ 鶏白湯 22g","182","132.00","197"
"4","4901085650424","12","","179","135.00","193"
"4","4901734051268","12","サンヨー食品 名店の味 天下一品 京都濃厚鶏白湯 135g","330","241.00","356"
"4","4901990372657","15","マルちゃん でかまる もやし味噌ラーメン 161g","271","196.00","293"
"4","4901990374033","13","マルちゃん 赤いきつねうどん 2枚入りお揚げ","248","179.00","268"
"4","4902881458450","9","","198","144.00","214"
"4","4902885000686","2","","193","146.00","208"
"7","4528457000283","5","","723","535.00","781"
"7","4534551012046","3","","550","349.00","594"
"7","4902757811907","4","","460","360.00","497"
"7","4970088370103","1","","4006","3300.00","4326"
"7","4973877000861","10","","240","156.00","259"
"7","4987040808277","4","","1500","1059.00","1620"
"7","4987320670044","4","","1160","929.00","1253"
"7","4987439196930","7","","11000","9270.00","11880"
"19","4955595502841","36","","500","475.00","550"
"22","2307200101475","61","","10","9.00","11"
"22","2307200101963","10","","1","1.00","1"
"22","2307200103813","178","","129","80.60","142"
"22","2307200106197","8","","77","85.00","85"
"29","2307200105398","3","","3383","2351.00","3721"
"29","2307200105404","2","","2580","1519.00","2838"
"29","2307200105411","2","","3136","2195.45","3450"
"29","4900070138718","47","プロケアーリムーバー 13871（ストーマ用装具除去剥離剤）50枚","2200","1720.00","2420"
"30","2307200101994","23","","75","74.07","82"
"30","2307200102106","4","","850","687.00","935"
"30","4987715002009","2","","8930","7430.00","9823"
"34","2074010001676","1","デュオアクティブＣＧＦ　１０×１０　（１枚）","1700","1200.00","1870"
"34","2307200102489","15","","3866","2400.00","4253"
"34","4987350373434","55","テルモ メディセーフフィット MS-FR201B（血糖測定器）","7777","5990.00","8555"
"34","4987350968555","22","テルモ メディセーフフィットスマイル（自己検査用グルコース測定器）","7777","5900.00","8555"
"34","4987439083445","85","FreeStyleリブレ Reader（読取装置）","7089","4333.00","7798"
"34","4987892033858","58","テルモ電子血圧計エレマーノ2 本体+腕帯(Mサイズ) 通信機能付 ES-H56D","35000","22120.00","38500"
"10","4537944197702","1","","7600","4940.00","8360"
"10","4537944198402","1","","7600","4940.00","8360"
"10","4537944210432","5","","2200","1298.00","2420"
"10","4537944210531","4","","2200","1298.00","2420"
"10","4537944210630","4","","2200","1298.00","2420"
"10","4537944210739","2","","2200","1298.00","2420"
"10","4537944210838","3","","2200","1298.00","2420"
"10","4562146815284","2","","2762","1020.00","3038"
"10","4562146815291","3","","2762","1020.00","3038"
"10","4562146815871","3","","5200","2080.00","5720"
"10","4562146815888","1","","5200","2080.00","5720"
"10","4562146815895","2","","5200","2080.00","5720"
"10","4562146815901","3","","5200","2080.00","5720"
"10","4562146815918","2","","5200","2080.00","5720"
"10","4562146815932","1","","5200","2080.00","5720"
"10","4571108512321","2","","7200","4320.00","7920"
"10","4571108512338","2","","7200","4320.00","7920"
"10","4571108512352","3","","7200","4320.00","7920"
"10","4571108512369","2","","7200","4320.00","7920"
"10","4571108512376","2","","7200","4320.00","7920"
"10","4571108512888","2","","7200","4320.00","7920"
"10","4571108512895","2","","7200","4320.00","7920"
"10","4571108512901","2","","7200","4320.00","7920"
"10","4571108512925","2","","7200","4320.00","7920"
"10","4571108512932","1","","7200","4320.00","7920"
"10","4580149121799","1","","5200","1872.00","5720"
"10","4580149121805","1","","5200","1872.00","5720"
"10","4580149121812","1","","5200","1872.00","5720"
"10","4580149121829","3","","5200","1872.00","5720"
"10","4580149121836","1","","5200","1872.00","5720"
"10","4580149121850","3","","5200","1872.00","5720"
"10","4580149121867","3","","5200","1872.00","5720"
"10","4580149121881","1","","5200","1872.00","5720"
"10","4580149121898","2","","5200","1872.00","5720"
"10","4580149123045","1","","5200","2080.00","5720"
"10","4903735809770","2","","3800","2850.00","4180"
"10","4958995911329","4","","2000","1365.00","2200"
"10","4958995911336","16","","2000","1365.00","2200"
"10","4958995911350","4","","2000","1365.00","2200"
"10","4958995911367","7","","2000","1365.00","2200"
"10","4958995913927","9","","2000","1100.00","2200"
"10","4958995913934","6","","2000","1100.00","2200"
"10","4958995913941","29","","2000","1100.00","2200"
"10","4958995913958","20","","2000","1100.00","2200"
"10","4958995913965","10","","1909","1100.00","2100"
"10","4958995917529","14","","2200","1200.00","2420"
"10","4958995917536","9","","2200","1200.00","2420"
"10","4958995917543","14","","2200","1200.00","2420"
"10","4958995917550","7","","2200","1200.00","2420"
"10","4958995917567","12","","2200","1200.00","2420"
"10","4991203164018","11","","200","136.00","220"
"13","2035030000018","2081","","350","190.00","385"
"13","2035030000025","11","","100","75.00","110"
"13","2290000038709","4","","379","294.44","417"
"13","4580884802281","100","","381","218.18","419"
"13","4901601972962","3","","1300","819.00","1430"
"13","4901681144716","16","","100","65.00","110"
"13","4901681504114","16","","150","98.00","165"
"13","4901681504213","13","","120","87.00","132"
"13","4901681588831","14","","300","210.00","330"
"13","4901771069547","4","","150","78.00","165"
"13","4901771069646","1","","900","488.00","990"
"13","4902031000140","6","","130","78.00","143"
"13","4902506141088","11","","500","325.00","550"
"13","4902506145758","7","","300","195.00","330"
"13","4902778700907","11","","100","65.00","110"
"13","4902778700914","8","","100","65.00","110"
"13","4903076009075","9","","170","111.00","187"
"13","4904810741374","2","","545","351.00","600"
"13","4987353190113","4","","640","367.00","704"
"13","4990097138280","10","","2800","1684.00","3080"
"13","4990097138297","11","","2800","1684.00","3080"
"13","4990097138310","9","","2800","1684.00","3080"
"24","3700327217019","3","","1500","1270.00","1650"
"24","4903301010975","2","","650","455.00","715"
"24","4903301116486","2","","545","274.00","600"
"24","4903301177050","3","","890","605.00","979"
"24","4903301177159","1","","950","640.00","1045"
"24","4903301393573","3","","800","274.00","880"
"24","4987015093219","22","","380","265.00","418"
"24","4987028110552","1","","540","373.00","594"
"24","4987028115069","2","","980","637.00","1078"
"24","4987033409047","2","","590","263.00","649"
"24","4987035566113","2","","300","205.00","330"
"24","4987060007490","6","","1000","736.00","1100"
"24","4987067231102","1","","700","455.00","770"
"24","4987067284504","1","","659","396.00","725"
"24","4987072004708","2","","970","770.00","1067"
"24","4987084410801","2","","880","642.00","968"
"24","4987087022254","3","","614","423.00","675"
"24","4987087041811","2","","670","450.00","737"
"24","4987087041965","1","","580","357.00","638"
"24","4987107604972","2","","980","630.00","1078"
"24","4987107608703","2","","950","600.00","1045"
"24","4987107615527","2","","790","616.00","869"
"24","4987107615626","0","","1580","1027.00","1738"
"24","4987110001638","0","","1000","650.00","1100"
"24","4987110004240","1","","900","568.00","990"
"24","4987138469403","2","","2200","1100.00","2420"
"24","4987138481245","3","","1500","820.00","1650"
"24","4987138481276","3","","1500","789.00","1650"
"24","4987138481337","2","","1200","631.00","1320"
"24","4987145100146","1","","980","617.00","1078"
"24","4987167007263","1","","1200","780.00","1320"
"24","4987188115114","1","","1361","903.00","1497"
"24","4987188166048","2","","1886","1498.00","2075"
"24","4987188188286","1","","2640","1800.00","2904"
"24","4987240210535","4","","700","442.00","770"
"24","4987241100187","2","","930","424.00","1023"
"24","4987241100200","2","","930","651.00","1023"
"24","4987241100378","1","","800","560.00","880"
"24","4987241100941","1","","790","616.00","869"
"24","4987241100996","1","","750","540.00","825"
"24","4987241104260","2","","370","266.00","407"
"24","4987241124015","6","","2000","1260.00","2200"
